No,Split,Arsitektur,Activation,Learning Rate,Epoch,Loss (MSE),Acc Train,Train Precision 0,Train Precision 1,Train Precision 2,Train Recall 0,Train Recall 1,Train Recall 2,Train F1 0,Train F1 1,Train F1 2,Support 0,Support 1,Support 2
1,60:40,"(100, 50)",logistic,0.04,18,0.01144,0.9886,0.9909,0.9942,0.9684,0.996,0.973,1.0,0.9935,0.9835,0.984,4500,3150,1350
2,60:40,"(100, 50)",logistic,0.08,17,0.01044,0.9896,0.9993,0.9742,0.994,0.9858,0.9965,0.9859,0.9925,0.9852,0.99,4500,3150,1350
3,60:40,"(100, 50)",logistic,0.06,18,0.01111,0.9889,0.9964,0.9838,0.9761,0.9898,0.9844,0.9963,0.9931,0.9841,0.9861,4500,3150,1350
4,60:40,"(100, 50)",logistic,0.005,29,0.00367,0.9963,0.9969,0.9946,0.9985,0.9971,0.9949,0.997,0.997,0.9948,0.9978,4500,3150,1350
5,60:40,"(100, 50)",logistic,0.009,22,0.00678,0.9932,0.9975,0.9871,0.9933,0.9922,0.9937,0.9956,0.9949,0.9903,0.9945,4500,3150,1350
6,60:40,"(100, 50)",logistic,0.007,18,0.00633,0.9937,0.9978,0.9859,0.9985,0.9927,0.9962,0.9911,0.9952,0.991,0.9948,4500,3150,1350
7,60:40,"(100, 50)",logistic,0.2,38,0.03067,0.9693,0.9795,0.9502,0.9813,0.9851,0.9629,0.9319,0.9823,0.9565,0.9559,4500,3150,1350
8,60:40,"(100, 50)",logistic,0.6,30,0.08656,0.9134,0.9592,0.8572,0.9036,0.93,0.9032,0.8822,0.9444,0.8796,0.8928,4500,3150,1350
9,60:40,"(100, 50)",logistic,0.012,19,0.00367,0.9963,0.998,0.9937,0.997,0.9967,0.9959,0.9963,0.9973,0.9948,0.9967,4500,3150,1350
10,60:40,"(100, 50)",logistic,0.01,22,0.00767,0.9923,0.9987,0.9828,0.9941,0.9898,0.9956,0.9933,0.9942,0.9891,0.9937,4500,3150,1350
11,60:40,"(100, 50)",logistic,0.015,18,0.00678,0.9932,0.9982,0.9843,0.9978,0.9911,0.9965,0.9926,0.9946,0.9904,0.9952,4500,3150,1350
12,60:40,"(100, 50)",logistic,0.018,19,0.006,0.994,0.9951,0.9974,0.9825,0.9984,0.9854,0.9993,0.9968,0.9914,0.9908,4500,3150,1350
13,60:40,"(100, 50)",logistic,0.0111,22,0.00933,0.9907,0.9991,0.9776,0.9941,0.9867,0.9962,0.9911,0.9928,0.9868,0.9926,4500,3150,1350
14,60:40,"(100, 50)",relu,0.04,20,0.01156,0.9884,0.9898,0.9875,0.986,0.9929,0.9794,0.9948,0.9913,0.9834,0.9904,4500,3150,1350
15,60:40,"(100, 50)",relu,0.08,26,0.01211,0.9879,0.9957,0.9822,0.9753,0.9889,0.9832,0.9956,0.9923,0.9827,0.9853,4500,3150,1350
16,60:40,"(100, 50)",relu,0.06,40,0.008,0.992,0.9964,0.9908,0.9804,0.9936,0.9863,1.0,0.995,0.9885,0.9901,4500,3150,1350
17,60:40,"(100, 50)",relu,0.005,24,0.00589,0.9941,0.9987,0.9877,0.9941,0.992,0.9956,0.9978,0.9953,0.9916,0.9959,4500,3150,1350
18,60:40,"(100, 50)",relu,0.009,17,0.01244,0.9876,0.9931,0.978,0.9918,0.9904,0.9867,0.98,0.9918,0.9823,0.9858,4500,3150,1350
19,60:40,"(100, 50)",relu,0.007,29,0.00367,0.9963,0.9971,0.9962,0.9941,0.9996,0.9933,0.9926,0.9983,0.9948,0.9933,4500,3150,1350
20,60:40,"(100, 50)",relu,0.2,15,0.01811,0.9819,0.9894,0.9898,0.9414,0.9933,0.9581,0.9993,0.9914,0.9737,0.9695,4500,3150,1350
21,60:40,"(100, 50)",relu,0.6,15,0.36044,0.6396,0.9932,0.4926,0.0,0.5831,0.9943,0.0,0.7348,0.6588,0.0,4500,3150,1350
22,60:40,"(100, 50)",relu,0.012,26,0.01022,0.9898,0.9973,0.9805,0.9868,0.9864,0.9905,0.9993,0.9918,0.9855,0.993,4500,3150,1350
23,60:40,"(100, 50)",relu,0.01,17,0.01644,0.9836,0.9955,0.9624,0.9954,0.9829,0.9917,0.9667,0.9892,0.9769,0.9808,4500,3150,1350
24,60:40,"(100, 50)",relu,0.015,18,0.01078,0.9892,0.9971,0.9848,0.9739,0.9907,0.9844,0.9956,0.9939,0.9846,0.9846,4500,3150,1350
25,60:40,"(100, 50)",relu,0.018,33,0.00667,0.9933,0.998,0.9924,0.9804,0.9949,0.9886,0.9993,0.9964,0.9905,0.9897,4500,3150,1350
26,60:40,"(100, 50)",relu,0.0111,18,0.009,0.991,0.998,0.9845,0.9831,0.9918,0.9898,0.9911,0.9949,0.9872,0.9871,4500,3150,1350
