No,Split,Arsitektur,Activation,Learning Rate,Epoch,Loss (MSE),Acc Train,Train Precision 0,Train Precision 1,Train Precision 2,Train Recall 0,Train Recall 1,Train Recall 2,Train F1 0,Train F1 1,Train F1 2,Support 0,Support 1,Support 2
1,70:30,"(100, 50)",logistic,0.04,39,0.0061,0.9939,0.996,0.9892,0.9981,0.9979,0.9935,0.9816,0.997,0.9913,0.9898,5250,3675,1575
2,70:30,"(100, 50)",logistic,0.08,32,0.00381,0.9962,0.9992,0.9906,0.9994,0.9975,0.9986,0.986,0.9984,0.9946,0.9926,5250,3675,1575
3,70:30,"(100, 50)",logistic,0.06,31,0.006,0.994,0.9969,0.9884,0.9974,0.9958,0.9946,0.9867,0.9964,0.9915,0.992,5250,3675,1575
4,70:30,"(100, 50)",logistic,0.005,12,0.95,0.5,0.5,0.0,0.0,1.0,0.0,0.0,0.6667,0.0,0.0,5250,3675,1575
5,70:30,"(100, 50)",logistic,0.009,12,0.95,0.5,0.5,0.0,0.0,1.0,0.0,0.0,0.6667,0.0,0.0,5250,3675,1575
6,70:30,"(100, 50)",logistic,0.007,12,0.95,0.5,0.5,0.0,0.0,1.0,0.0,0.0,0.6667,0.0,0.0,5250,3675,1575
7,70:30,"(100, 50)",logistic,0.2,19,0.01,0.99,0.9975,0.976,0.9987,0.989,0.9959,0.9797,0.9932,0.9859,0.9891,5250,3675,1575
8,70:30,"(100, 50)",logistic,0.6,22,0.01381,0.9862,0.9802,0.99,0.9981,0.999,0.9703,0.9803,0.9895,0.9801,0.9891,5250,3675,1575
9,70:30,"(100, 50)",logistic,0.012,71,0.00895,0.991,0.9952,0.9856,0.9898,0.9954,0.9888,0.9816,0.9953,0.9872,0.9857,5250,3675,1575
10,70:30,"(100, 50)",logistic,0.01,73,0.01429,0.9857,0.9831,0.9884,0.9885,0.9971,0.9706,0.9829,0.9901,0.9794,0.9857,5250,3675,1575
11,70:30,"(100, 50)",logistic,0.015,80,0.00629,0.9937,0.9964,0.9902,0.993,0.9973,0.9918,0.986,0.9969,0.991,0.9895,5250,3675,1575
12,70:30,"(100, 50)",logistic,0.018,46,0.01095,0.989,0.995,0.979,0.9929,0.9924,0.9899,0.9759,0.9937,0.9844,0.9843,5250,3675,1575
13,70:30,"(100, 50)",logistic,0.0111,89,0.00848,0.9915,0.9915,0.9918,0.9911,0.9987,0.9839,0.9854,0.9951,0.9878,0.9882,5250,3675,1575
14,70:30,"(100, 50)",relu,0.04,20,0.00829,0.9917,0.9979,0.9812,0.9961,0.9926,0.9954,0.9803,0.9952,0.9882,0.9882,5250,3675,1575
15,70:30,"(100, 50)",relu,0.08,39,0.00848,0.9915,0.9987,0.9781,1.0,0.9937,0.9981,0.9689,0.9962,0.988,0.9842,5250,3675,1575
16,70:30,"(100, 50)",relu,0.06,32,0.00438,0.9956,0.9956,0.9962,0.9943,0.9981,0.9913,0.9975,0.9969,0.9937,0.9959,5250,3675,1575
17,70:30,"(100, 50)",relu,0.005,80,0.00676,0.9932,0.9979,0.9886,0.9886,0.9947,0.9921,0.9911,0.9963,0.9904,0.9899,5250,3675,1575
18,70:30,"(100, 50)",relu,0.009,46,0.0079,0.9921,0.9983,0.9862,0.9855,0.9935,0.9913,0.9892,0.9959,0.9887,0.9873,5250,3675,1575
19,70:30,"(100, 50)",relu,0.007,63,0.00657,0.9934,0.9969,0.9886,0.993,0.996,0.9927,0.9867,0.9965,0.9906,0.9898,5250,3675,1575
20,70:30,"(100, 50)",relu,0.2,18,0.01048,0.9895,0.9954,0.9898,0.9698,0.9935,0.9801,0.9981,0.9945,0.985,0.9837,5250,3675,1575
21,70:30,"(100, 50)",relu,0.6,32,0.00838,0.9916,0.9879,0.9937,0.9994,0.9975,0.9823,0.9937,0.9927,0.988,0.9965,5250,3675,1575
